1 0 1 1 1 1 1 1 0.675		1 0 0 0	Up
1 1 1 0 1 1 1 0 0.750		0 0 1 0	Left
0 1 1 0 1 0 1 0 0.675		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.675		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.500		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.125		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.125		1 0 0 0	Up
1 1 0 0 1 1 1 0 0.250		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.675		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.675		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.375		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.125		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.000		1 0 0 0	Up
1 0 1 1 1 1 1 1 0.000		1 0 0 0	Up
1 0 1 1 1 1 1 1 0.875		1 0 0 0	Up
1 1 0 1 1 1 0 1 0.750		0 0 0 1	Right
0 1 0 1 0 1 0 1 0.375		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.375		0 0 0 1	Right
0 0 1 1 0 0 1 1 0.675		1 0 0 0	Up
0 1 1 0 0 0 1 0 0.750		0 0 1 0	Left
0 0 1 1 1 1 0 0 0.000		0 1 0 0	Down
1 0 0 1 0 1 0 0 0.125		0 0 0 1	Right
1 0 0 1 0 1 0 1 0.000		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.375		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.500		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.875		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.875		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.875		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.000		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.375		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.375		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.250		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.500		1 0 0 0	Up
1 1 0 0 0 1 0 1 0.125		0 0 1 0	Left
0 0 0 1 0 0 0 1 0.000		1 0 0 0	Up
0 1 0 1 0 0 1 1 0.675		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.375		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.250		0 0 1 0	Left
1 0 1 1 0 1 1 1 0.375		1 0 0 0	Up
0 1 1 0 0 1 1 0 0.375		0 0 1 0	Left
0 1 1 1 1 0 1 1 0.375		0 1 0 0	Down
1 1 1 0 1 0 1 1 0.250		0 0 1 0	Left
0 0 1 1 0 0 1 1 0.875		1 0 0 0	Up
0 1 0 1 0 0 1 1 0.750		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.750		0 1 0 0	Down
1 1 0 1 0 1 1 1 0.675		0 0 0 1	Right
0 0 1 1 1 1 0 0 0.500		0 1 0 0	Down
1 0 1 0 1 1 0 0 0.125		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.125		1 0 0 0	Up
1 1 0 1 1 1 0 1 0.250		0 0 0 1	Right
1 0 1 0 1 0 1 0 0.125		1 0 0 0	Up
1 1 1 0 1 1 1 0 0.125		0 0 1 0	Left
0 1 1 0 1 0 1 0 0.125		0 1 0 0	Down
0 0 1 0 1 0 1 0 0.125		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.125		0 0 1 0	Left
0 0 1 1 0 0 1 1 0.000		1 0 0 0	Up
0 1 0 1 0 0 1 1 0.875		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.875		0 1 0 0	Down
1 1 0 0 1 0 1 0 0.750		0 0 0 1	Right
0 1 1 0 1 0 1 0 0.500		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.250		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.000		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.000		0 0 1 0	Left
1 0 1 1 1 1 1 0 0.875		1 0 0 0	Up
0 1 0 1 0 0 0 1 0.750		0 0 0 1	Right
0 0 0 1 0 1 0 0 0.375		0 1 0 0	Down
1 0 1 1 1 1 1 1 0.125		1 0 0 0	Up
1 0 1 1 1 1 1 1 0.875		1 0 0 0	Up
1 1 0 0 1 0 1 0 0.750		0 0 0 1	Right
0 1 1 0 1 0 1 0 0.375		0 1 0 0	Down
1 1 1 0 1 0 1 1 0.375		0 0 1 0	Left
0 0 1 1 0 0 1 1 0.500		1 0 0 0	Up
0 1 0 0 0 0 0 1 0.875		0 0 1 0	Left
0 1 0 1 0 1 0 1 0.000		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.750		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.875		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.875		0 0 1 0	Left
0 0 1 1 1 1 0 0 0.000		0 1 0 0	Down
1 0 0 0 1 0 0 0 0.375		0 0 0 1	Right
1 0 1 0 1 0 1 0 0.500		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.125		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.000		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.675		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.375		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.250		0 0 1 0	Left
0 0 1 1 0 0 1 1 0.000		1 0 0 0	Up
0 1 0 1 0 0 1 1 0.675		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.500		0 1 0 0	Down
1 1 0 0 0 1 0 1 0.250		0 0 1 0	Left
0 0 0 1 0 0 0 1 0.875		1 0 0 0	Up
0 1 0 1 0 0 1 1 0.675		0 0 0 1	Right
0 0 1 1 1 1 0 0 0.675		0 1 0 0	Down
1 0 0 1 0 1 0 1 0.675		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.125		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.250		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.750		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.875		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.000		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.675		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.500		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.375		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.500		1 0 0 0	Up
1 1 0 0 0 1 0 1 0.125		0 0 1 0	Left
1 0 0 1 0 1 0 1 0.000		1 0 0 0	Up
1 1 0 0 1 0 1 0 0.675		0 0 0 1	Right
0 1 1 0 0 0 1 0 0.500		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.125		0 0 1 0	Left
1 0 1 1 1 1 1 0 0.125		1 0 0 0	Up
1 1 0 0 1 0 1 0 0.250		0 0 0 1	Right
0 0 1 0 0 0 1 0 0.675		1 0 0 0	Up
0 1 1 0 0 0 1 1 0.750		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.375		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.125		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.125		1 0 0 0	Up
1 1 0 0 1 0 0 0 0.250		0 0 0 1	Right
0 0 1 1 0 0 1 1 0.000		1 0 0 0	Up
0 1 0 1 0 0 1 1 0.675		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.375		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.250		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.875		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.750		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.375		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.250		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.875		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.875		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.000		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.675		0 0 0 1	Right
0 1 1 1 0 1 1 1 0.500		0 1 0 0	Down
1 1 1 0 1 0 1 1 0.125		0 0 1 0	Left
0 0 1 1 0 0 1 1 0.000		1 0 0 0	Up
0 1 0 1 0 0 1 1 0.750		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.500		0 1 0 0	Down
1 1 0 0 0 1 1 1 0.875		0 0 1 0	Left
0 0 1 1 1 1 0 0 0.000		0 1 0 0	Down
1 0 0 1 1 1 0 0 0.375		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.675		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.750		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.875		0 1 0 0	Down
1 1 0 0 0 1 0 1 0.875		0 0 1 0	Left
1 0 0 1 0 1 0 1 0.875		1 0 0 0	Up
1 1 0 0 1 0 1 0 0.750		0 0 0 1	Right
0 1 1 0 1 0 1 0 0.500		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.125		0 0 1 0	Left
0 0 1 1 0 0 1 1 0.000		1 0 0 0	Up
0 1 0 1 0 0 1 1 0.675		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.675		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.675		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.500		0 1 0 0	Down
1 1 0 0 0 1 0 1 0.125		0 0 1 0	Left
1 0 0 1 0 1 0 1 0.875		1 0 0 0	Up
1 1 0 0 1 0 1 0 0.750		0 0 0 1	Right
0 0 1 0 1 0 0 0 0.375		0 1 0 0	Down
1 0 1 0 1 1 0 0 0.250		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.250		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.125		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.000		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.750		0 0 0 1	Right
0 0 0 1 0 1 0 0 0.375		0 1 0 0	Down
1 0 0 1 0 1 0 0 0.375		0 0 0 1	Right
0 0 1 1 0 0 0 1 0.675		1 0 0 0	Up
0 1 0 0 0 0 0 0 0.750		0 0 1 0	Left
0 0 0 1 0 1 0 0 0.125		0 1 0 0	Down
1 0 0 1 0 1 0 0 0.250		0 0 0 1	Right
0 0 0 1 0 0 0 1 0.675		1 0 0 0	Up
0 1 0 1 0 0 1 1 0.675		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.675		0 1 0 0	Down
1 1 0 0 0 0 0 1 0.675		0 0 1 0	Left
0 0 0 1 0 1 0 0 0.375		0 1 0 0	Down
1 0 0 1 0 1 0 0 0.375		0 0 0 1	Right
0 0 1 1 0 0 1 1 0.750		1 0 0 0	Up
0 1 1 0 0 0 1 0 0.875		0 0 1 0	Left
0 0 1 1 1 1 0 0 0.000		0 1 0 0	Down
1 0 0 1 1 1 0 0 0.125		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.000		1 0 0 0	Up
1 1 0 1 1 1 0 1 0.675		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.375		0 1 0 0	Down
1 1 0 0 0 1 0 1 0.250		0 0 1 0	Left
1 0 0 1 0 1 0 1 0.000		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.675		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.500		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.125		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.875		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.750		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.375		0 1 0 0	Down
1 1 0 0 0 1 0 1 0.250		0 0 1 0	Left
1 0 0 1 0 1 0 1 0.000		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.675		0 0 0 1	Right
0 0 1 1 1 1 0 0 0.500		0 1 0 0	Down
1 0 1 0 1 1 0 0 0.375		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.500		1 0 0 0	Up
1 1 1 0 1 1 1 0 0.875		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.125		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.250		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.500		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.875		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.125		0 1 0 0	Down
1 1 1 0 1 0 1 1 0.125		0 0 1 0	Left
0 0 1 1 0 0 1 0 0.875		1 0 0 0	Up
0 1 0 1 0 0 1 1 0.875		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.125		0 1 0 0	Down
1 1 0 0 0 0 1 0 0.250		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.875		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.750		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.375		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.375		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.375		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.375		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.375		1 0 0 0	Up
1 1 1 0 1 1 1 0 0.375		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.375		1 0 0 0	Up
1 1 0 0 0 1 0 0 0.250		0 0 1 0	Left
0 0 0 1 0 0 0 1 0.000		1 0 0 0	Up
0 1 0 0 0 0 1 0 0.675		0 0 0 1	Right
0 1 1 0 1 0 1 0 0.675		0 1 0 0	Down
1 1 1 0 1 0 1 1 0.675		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.675		0 1 0 0	Down
1 1 1 0 1 0 1 1 0.750		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.375		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.375		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.500		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.250		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.125		1 0 0 0	Up
1 1 0 1 1 1 0 1 0.125		0 0 0 1	Right
0 0 1 1 0 0 1 1 0.000		1 0 0 0	Up
0 1 0 1 0 0 1 1 0.875		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.875		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.750		0 0 0 1	Right
0 0 1 1 1 1 0 0 0.375		0 1 0 0	Down
1 0 1 0 1 1 0 0 0.375		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.375		1 0 0 0	Up
1 1 1 0 1 1 1 0 0.375		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.375		1 0 0 0	Up
1 1 1 0 1 1 1 0 0.250		0 0 1 0	Left
0 0 1 1 0 0 1 1 0.875		1 0 0 0	Up
0 1 1 0 0 0 1 1 0.875		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.875		0 1 0 0	Down
1 1 0 0 1 0 1 0 0.750		0 0 0 1	Right
0 1 1 0 0 0 1 0 0.375		0 1 0 0	Down
1 1 0 0 0 1 0 1 0.250		0 0 1 0	Left
1 0 0 1 0 1 0 1 0.875		1 0 0 0	Up
1 1 0 0 1 0 1 0 0.750		0 0 0 1	Right
0 1 1 0 1 0 1 0 0.375		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.375		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.375		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.250		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.675		1 0 0 0	Up
1 1 1 0 1 1 1 0 0.675		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.675		0 1 0 0	Down
1 1 0 0 0 1 0 1 0.875		0 0 1 0	Left
0 0 0 1 0 0 0 0 0.000		0 1 0 0	Down
1 0 0 1 0 1 0 0 0.125		0 0 0 1	Right
1 0 0 1 0 1 0 1 0.000		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.375		0 0 0 1	Right
0 0 1 1 0 0 1 1 0.500		1 0 0 0	Up
0 1 1 0 0 0 1 1 0.675		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.500		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.675		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.675		1 0 0 0	Up
1 1 1 0 1 1 1 0 0.750		0 0 1 0	Left
0 1 1 1 1 0 1 1 0.125		0 1 0 0	Down
1 1 0 1 0 1 1 1 0.125		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.000		1 0 0 0	Up
1 1 0 0 1 0 1 0 0.750		0 0 0 1	Right
0 1 1 0 1 0 1 0 0.500		0 1 0 0	Down
1 1 0 0 0 1 0 1 0.125		0 0 1 0	Left
0 0 1 1 0 1 0 0 0.125		0 1 0 0	Down
1 0 1 0 1 1 0 0 0.125		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.125		1 0 0 0	Up
1 0 1 1 1 1 1 1 0.375		1 0 0 0	Up
1 0 1 1 1 1 1 1 0.500		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.125		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.125		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.250		0 0 0 1	Right
0 0 1 1 0 0 1 1 0.875		1 0 0 0	Up
0 1 0 1 0 0 1 1 0.750		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.875		0 1 0 0	Down
1 1 0 0 0 0 1 0 0.750		0 0 0 1	Right
0 1 1 0 1 0 1 0 0.675		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.750		0 0 1 0	Left
0 0 1 1 1 1 0 0 0.375		0 1 0 0	Down
1 0 0 0 0 1 0 0 0.250		0 0 1 0	Left
0 0 0 1 0 0 0 1 0.875		1 0 0 0	Up
0 1 0 0 0 0 1 0 0.750		0 0 0 1	Right
0 1 1 0 1 0 1 0 0.375		0 1 0 0	Down
1 1 0 0 0 1 0 1 0.250		0 0 1 0	Left
0 0 0 1 0 0 0 1 0.875		1 0 0 0	Up
0 1 0 0 0 0 1 0 0.750		0 0 0 1	Right
0 1 1 0 1 0 1 0 0.375		0 1 0 0	Down
1 1 0 0 0 1 0 1 0.250		0 0 1 0	Left
1 0 0 1 0 1 0 1 0.000		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.750		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.500		0 1 0 0	Down
1 1 0 0 0 1 0 1 0.125		0 0 1 0	Left
0 0 0 1 0 0 0 1 0.000		1 0 0 0	Up
0 1 0 0 0 0 1 0 0.675		0 0 0 1	Right
0 1 1 0 1 0 1 0 0.500		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.875		0 0 1 0	Left
0 1 1 1 1 0 1 1 0.000		0 1 0 0	Down
0 1 0 0 0 0 1 0 0.375		0 0 0 1	Right
0 0 1 0 0 0 0 0 0.375		0 1 0 0	Down
1 0 0 0 0 0 0 0 0.125		0 0 1 0	Left
1 0 0 1 0 1 0 1 0.000		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.875		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.875		1 0 0 0	Up
1 1 0 0 1 0 0 0 0.750		0 0 0 1	Right
0 1 1 0 1 0 1 0 0.375		0 1 0 0	Down
1 1 1 0 1 0 1 1 0.375		0 0 1 0	Left
1 0 1 0 1 0 1 0 0.500		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.875		0 0 1 0	Left
0 1 1 1 1 0 1 1 0.000		0 1 0 0	Down
0 1 0 0 0 0 1 0 0.675		0 0 0 1	Right
0 0 1 1 1 0 0 0 0.500		0 1 0 0	Down
1 0 1 0 1 1 0 0 0.375		0 0 1 0	Left
1 0 1 0 1 0 1 1 0.375		1 0 0 0	Up
1 1 0 0 0 1 0 1 0.250		0 0 1 0	Left
1 0 0 1 0 1 0 1 0.875		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.750		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.125		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.125		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.000		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.675		0 0 0 1	Right
0 0 1 1 1 1 0 0 0.500		0 1 0 0	Down
1 0 0 0 0 1 0 0 0.125		0 0 1 0	Left
1 0 0 1 0 1 0 1 0.125		1 0 0 0	Up
1 1 0 1 1 0 1 1 0.125		0 0 0 1	Right
1 0 1 1 1 1 0 1 0.000		1 0 0 0	Up
1 1 0 0 1 0 1 0 0.675		0 0 0 1	Right
0 1 1 0 1 0 1 0 0.675		0 1 0 0	Down
0 1 1 0 0 1 1 1 0.750		0 0 1 0	Left
0 0 1 1 1 1 0 0 0.375		0 1 0 0	Down
1 0 0 0 0 1 0 0 0.125		0 0 1 0	Left
0 0 0 1 0 0 0 1 0.000		1 0 0 0	Up
0 1 0 1 0 0 1 1 0.750		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.875		0 1 0 0	Down
1 0 0 1 1 1 1 0 0.875		0 0 0 1	Right
0 0 1 1 0 0 1 1 0.875		1 0 0 0	Up
0 1 0 1 0 0 1 1 0.750		0 0 0 1	Right
0 0 1 1 1 1 0 0 0.000		0 1 0 0	Down
1 0 0 1 0 1 0 0 0.375		0 0 0 1	Right
1 0 0 1 0 1 0 1 0.500		1 0 0 0	Up
1 1 0 1 1 1 0 1 0.500		0 0 0 1	Right
0 1 0 1 0 1 0 1 0.375		0 1 0 0	Down
1 1 0 0 0 0 1 0 0.375		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.875		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.750		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.375		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.250		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.675		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.750		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.125		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.375		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.500		1 0 0 0	Up
1 1 1 0 1 1 1 0 0.125		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.125		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.250		0 0 0 1	Right
0 0 1 1 0 0 1 1 0.675		1 0 0 0	Up
0 1 1 0 0 0 1 0 0.675		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.675		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.750		0 0 1 0	Left
0 0 1 1 1 0 0 0 0.000		0 1 0 0	Down
1 0 0 1 1 1 0 0 0.250		0 0 0 1	Right
0 0 1 1 0 0 1 1 0.675		1 0 0 0	Up
0 1 1 0 0 0 1 0 0.675		0 0 1 0	Left
0 1 1 0 1 0 1 0 0.500		0 1 0 0	Down
1 1 0 0 0 1 0 1 0.875		0 0 1 0	Left
0 1 0 1 0 1 0 1 0.125		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.250		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.675		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.675		0 0 1 0	Left
0 0 1 1 1 0 0 0 0.500		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.875		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.875		1 0 0 0	Up
1 1 1 0 1 1 1 0 0.875		0 0 1 0	Left
0 0 1 1 1 1 0 0 0.000		0 1 0 0	Down
1 0 0 1 1 1 0 0 0.375		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.500		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.875		0 0 1 0	Left
0 1 1 1 1 0 1 1 0.000		0 1 0 0	Down
0 1 0 1 0 0 1 1 0.500		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.375		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.250		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.000		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.750		0 0 0 1	Right
0 0 1 1 1 1 0 0 0.375		0 1 0 0	Down
1 0 1 0 1 1 0 0 0.250		0 0 1 0	Left
0 0 1 1 1 0 1 1 0.675		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.750		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.125		0 1 0 0	Down
1 1 1 0 1 0 1 1 0.125		0 0 1 0	Left
1 0 1 1 1 1 1 0 0.000		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.750		0 0 0 1	Right
0 0 1 1 1 1 0 0 0.375		0 1 0 0	Down
1 0 1 0 1 0 0 0 0.250		0 0 1 0	Left
1 0 1 0 1 0 1 0 0.125		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.125		0 0 1 0	Left
0 0 1 1 0 0 1 1 0.000		1 0 0 0	Up
0 1 0 0 0 0 1 0 0.675		0 0 0 1	Right
0 1 1 0 1 0 1 0 0.675		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.750		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.125		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.250		0 0 0 1	Right
0 0 1 1 0 0 0 1 0.675		1 0 0 0	Up
0 1 0 0 0 0 0 0 0.675		0 0 0 1	Right
0 1 1 0 1 0 1 0 0.500		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.250		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.000		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.875		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.875		1 0 0 0	Up
1 1 0 0 0 1 0 1 0.875		0 0 1 0	Left
0 1 0 0 0 0 0 1 0.875		0 1 0 0	Down
1 0 1 1 1 1 1 1 0.875		1 0 0 0	Up
1 1 0 0 1 0 1 0 0.750		0 0 0 1	Right
0 1 1 0 0 0 1 0 0.675		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.750		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.250		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.125		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.000		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.750		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.750		0 1 0 0	Down
1 1 1 0 1 0 1 1 0.875		0 0 1 0	Left
0 0 1 1 1 1 0 0 0.000		0 1 0 0	Down
1 0 0 1 1 1 0 0 0.250		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.675		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.750		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.125		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.250		0 0 0 1	Right
0 0 1 1 0 0 1 1 0.675		1 0 0 0	Up
0 1 0 1 0 0 0 1 0.675		0 0 0 1	Right
0 1 1 1 0 1 1 1 0.375		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.375		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.500		1 0 0 0	Up
1 1 1 0 1 1 1 0 0.000		0 0 1 0	Left
0 1 1 1 1 0 1 1 0.125		0 1 0 0	Down
1 1 0 1 1 1 1 1 0.250		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.875		1 0 0 0	Up
1 1 0 0 1 0 1 0 0.750		0 0 0 1	Right
0 1 1 0 1 0 1 0 0.375		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.250		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.675		1 0 0 0	Up
1 1 1 0 1 1 1 1 0.750		0 0 1 0	Left
0 1 1 1 1 1 1 1 0.375		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.125		0 0 1 0	Left
1 0 1 1 1 1 1 1 0.000		1 0 0 0	Up
1 1 0 1 1 1 1 1 0.675		0 0 0 1	Right
0 1 1 1 1 1 1 1 0.675		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.675		0 0 1 0	Left
0 1 1 1 1 0 1 1 0.500		0 1 0 0	Down
1 1 1 0 1 1 1 1 0.750		0 0 1 0	Left
0 0 1 1 1 1 0 0 0.000		0 1 0 0	Down
1 0 0 1 1 1 0 0 0.375		0 0 0 1	Right
1 0 1 1 1 1 1 1 0.675		1 0 0 0	Up
